index Betriebname Milchmenge Fett.B Laktationstag BetriebDatum
262 Dummerstorf -0.245414226393266 0.916801936544716 30 Dummerstor2009-07-02
263 Dummerstorf -0.231721950180294 0.249062124232141 33 Dummerstor2009-07-02
264 Dargun 1.82211948176542 0.591492797212948 42 Dargun2009-07-06
265 Dargun 1.12381339490388 -0.949445231200685 76 Dargun2009-07-06
266 Vipperow 0.521353241533134 -1.17202516863821 39 Vipperow2009-07-01
267 Dargun 0.00104674544021977 -0.24746235159003 77 Dargun2009-07-06
268 Dargun -1.08064307538452 -1.29187590418149 75 Dargun2009-07-06
269 Dargun 0.658276003662848 2.25228156116987 81 Dargun2009-07-06
270 Dummerstorf -1.01218169431967 -1.03505289944589 31 Dummerstor2009-07-02
271 Vipperow 1.06904429005199 -0.70974376011412 53 Vipperow2009-07-01
272 Niendorf 0.247507717273705 -0.949445231200685 42 Niendorf2009-07-05
273 Niendorf 1.04165973762605 -0.915202163902605 38 Niendorf2009-07-05
274 Niendorf -0.519259750652694 0.540128196265828 112 Niendorf2009-07-05
275 Stove 0.137969507569934 -0.178976216993869 50 Stove2009-06-17
276 Niendorf 0.0421235740791341 -0.589893024570837 62 Niendorf2009-05-03
277 Dummerstorf 0.877352423070391 -0.0591254814505863 33 Dummerstor2009-06-02
278 Stove 0.151661783782905 1.01953113843896 91 Stove2009-06-17
279 Dummerstorf 0.891044699283362 0.420277460722545 75 Dummerstor2009-06-02
280 Dummerstorf 1.08273656626496 0.249062124232141 79 Dummerstor2009-06-02
281 Stove 0.713045108514734 0.711343532756231 80 Stove2009-06-17
282 Barth 0.726737384727705 1.25923260952552 34 Barth2009-07-06
283 Stove -2.12125606757035 0.454520528020625 24 Stove2009-06-17
284 Vipperow 0.233815441060734 0.745586600054312 22 Vipperow2009-05-04
285 Vipperow 1.02796746141308 0.351791326126383 25 Vipperow2009-05-04
286 Niendorf 1.60304306235788 -0.898080630253564 93 Niendorf2009-05-03
287 Dummerstorf 0.0284312978661626 -0.743986827412201 112 Dummerstor2009-06-02
288 Dummerstorf 1.16489022354279 -0.26458388523907 53 Dummerstor2009-06-02
289 Vipperow 0.48027641289422 -0.932323697551645 22 Vipperow2009-05-04
290 Niendorf -0.76572072248618 0.540128196265828 84 Niendorf2009-05-03
291 Luessow -0.163260569115437 0.694221999107191 40 Luessow2009-06-01
292 Stove 0.0558158502921055 -0.966566764849726 91 Stove2009-06-17
293 Vipperow 0.630891451236905 0.625735864511029 28 Vipperow2009-05-04
294 Niendorf -0.0400300831986945 -0.829594495657403 68 Niendorf2009-05-03
295 Niendorf 0.220123164847763 -0.401556154431393 70 Niendorf2009-05-03
296 Dummerstorf -0.19064512154138 0.574371263563908 21 Dummerstor2009-06-02
297 Vipperow 0.165354059995877 1.58454174885729 59 Vipperow2009-05-04
298 Stove -1.83371826709795 -0.743986827412201 32 Stove2009-06-17
299 Stove -0.971104865680751 1.10513880668416 117 Stove2009-06-17
300 Niendorf 0.38443047940342 -1.10353903404205 91 Niendorf2009-05-03
301 Dummerstorf -0.0537223594116659 -1.48021277432094 26 Dummerstor2009-06-02
302 Stove -0.38233698852298 0.523006662616786 85 Stove2009-06-17
303 Niendorf -0.231721950180294 1.22498954222744 86 Niendorf2009-05-03
304 Niendorf 0.38443047940342 1.1222603403332 75 Niendorf2009-05-03
305 Niendorf -0.847874379764009 1.85848628724194 77 Niendorf2009-05-03
306 Barth -1.71048778118121 -0.00776088050346478 22 Barth2009-05-04
307 Stove -0.464490645800809 -0.0248824141525055 48 Stove2009-06-17
308 Stove 0.589814622597991 -0.281705418888111 78 Stove2009-06-17
309 Stove -1.17648900887532 1.31059721047264 103 Stove2009-06-17
310 Vipperow 1.00058290898713 1.3790833450688 42 Vipperow2009-05-04
311 Stove 0.398122755616391 -0.418677688080434 84 Stove2009-06-17
312 Stove -0.38233698852298 -0.829594495657403 84 Stove2009-06-17
313 Vipperow 0.740429660940677 -0.743986827412201 36 Vipperow2009-05-04
314 Niendorf -0.341260159884066 -1.13778210134013 89 Niendorf2009-05-03
315 Stove -0.0400300831986945 1.25923260952552 29 Stove2009-06-17
316 Stove -0.806797551125094 0.334669792477343 90 Stove2009-06-17
317 Stove 0.754121937153648 0.762708133703352 66 Stove2009-06-17
318 Dummerstorf -1.45033453313475 -0.0933685487486663 50 Dummerstor2009-06-02
319 Dummerstorf 0.0968926789310198 0.231940590583101 97 Dummerstor2009-06-02
320 Dummerstorf 1.69888899584868 -0.350191553484273 63 Dummerstor2009-06-02
321 Dummerstorf -1.14910445644938 -0.144733149695788 23 Dummerstor2009-06-02
322 Niendorf 0.95950608034822 -1.30899743783053 91 Niendorf2009-05-03
323 Stove 0.137969507569934 0.523006662616786 108 Stove2009-06-17
324 Stove -0.697259341421323 0.968166537491837 108 Stove2009-06-17
325 Dummerstorf 1.02796746141308 -0.196097750642909 39 Dummerstor2009-06-02
326 Dummerstorf 0.562430070172048 0.283305191530221 31 Dummerstor2009-06-02
327 Dummerstorf -0.0537223594116659 0.00936065314557523 22 Dummerstor2009-06-02
328 Niendorf -0.656182512782409 -0.0933685487486663 94 Niendorf2009-05-03
329 Niendorf 0.0968926789310198 -1.30899743783053 81 Niendorf2009-05-03
330 Niendorf 0.918429251709305 -1.03505289944589 78 Niendorf2009-05-03
331 Stove -2.75110077336704 0.19769752328502 79 Stove2009-08-11
332 Stove -0.341260159884066 -0.435799221729474 83 Stove2009-06-17
333 Vipperow 0.38443047940342 0.488763595318706 24 Vipperow2009-05-04
334 Niendorf -1.87479509573687 -0.69262222646508 92 Niendorf2009-05-03
